Feature Id,Feature Name,Mapper Class
1,William Vernon Skiles Building,URBANopt::Scenario::BaselineMapper
2,O'Keefe Main Building,URBANopt::Scenario::BaselineMapper
3,Coon Building,URBANopt::Scenario::BaselineMapper
4,John and Joyce Caddell Building,URBANopt::Scenario::BaselineMapper
5,Paul Weber Building,URBANopt::Scenario::BaselineMapper
6,Fred B. Wenn Student Center,URBANopt::Scenario::BaselineMapper
7,Lamar Allen Sustainable Education Building,URBANopt::Scenario::BaselineMapper
8,Ford Motor Company Environmental Science and Technology Building,URBANopt::Scenario::BaselineMapper
9,Christopher W. Klaus Advanced Computing Building,URBANopt::Scenario::BaselineMapper
10,G. Wayne Clough Undergraduate Learning Commons,URBANopt::Scenario::BaselineMapper
11,"Glen P. Robinson, Jr. Building",URBANopt::Scenario::BaselineMapper
12,Tenth and Home Building D,URBANopt::Scenario::BaselineMapper
13,Tenth and Home Building E,URBANopt::Scenario::BaselineMapper
14,Tenth and Home Building G,URBANopt::Scenario::BaselineMapper
15,Rodger A. and Helen B. Krone Engineered Biosystems Building,URBANopt::Scenario::BaselineMapper
